KIC_ID,TCE_num,Period,Depth,Duration,target_label
3120355,1,78.0998908,656.9,8.422,1
3120431,1,3.341913228,725.3,3.813,2
3120904,1,42.9136635,160.6,5.227,1
3121340,1,0.723947772,242.7,2.125,2
3122985,1,0.9934889790000001,24327.0,1.9694,2
3124412,1,0.9489507340000001,2133.0,4.0245,2
3124420,1,0.948951607,458463.0,4.3809,2
3127817,1,2.1635697019999998,54518.0,7.60963,2
3128552,1,8.67890312,540.6,3.5317,1
3128552,2,4.02582434,265.3,2.8059,1
3128793,1,24.68662378,8052.3,15.168,2
3130548,1,0.8788557709999999,269.7,1.1014,2
3217264,1,29.19899219,2047.2,5.1227,1
3217264,2,160.0191598,1552.8,5.472,1
3217264,3,55.329139899999994,325.7,6.917999999999999,1
3218844,1,85.112898,513.8,2.503,3
3218908,1,18.92537246,640.9,3.9835,1
3218908,3,1.4753232219999999,154.9,2.3155,1
3218908,4,4.15246118,223.4,2.5755,1
3219995,1,18.87058705,588.0,3.4701,1
3222680,1,2.31164074,488.7,2.3169999999999997,2
3228740,1,0.7309567159999999,27.8,2.097,2
3228804,1,0.730947169,248.0,4.396,2
3228824,1,0.73093905,451.1,2.8437,3
3228825,1,0.73095491,29.6,2.206,2
3228945,1,0.730943372,134.7,3.0039999999999996,2
3228959,1,0.73094589,250.2,4.32,3
3228986,1,0.7309494870000001,87.3,2.367,2
3228988,1,0.73094701,227.7,4.223,2
3229028,1,0.7309642409999999,44.0,2.483,2
3230227,1,7.047106212,69626.0,3.16223,2
3230578,1,6.3376143570000005,1807.4,1.742,2
3230787,1,17.734020239,186680.0,7.27595,2
3231120,1,3.9001093460000003,126194.0,3.9037,2
3231137,1,3.900140077,543.1,3.77,2
3231341,1,12.33343853,536.4,6.221,1
3231341,2,8.14515981,446.8,5.073,1
3231341,3,18.9985279,430.7,4.529,1
3231341,5,4.24439049,174.0,3.282,1
3232859,1,8.387210055,4952.0,1.6477,2
3233043,1,0.379463865,1973.3,0.8689600000000001,2
3234598,1,12.90467523,412.4,3.28,1
3234598,2,31.201220199999998,360.1,4.077,1
3234843,1,29.727220000000003,1010.2,3.45,1
3234843,2,10.61368712,559.8,3.498,1
3235282,1,494.165759,1440.0,2.239,3
3239636,1,0.528755447,408.5,5.7139999999999995,3
3239671,1,147.97391000000002,1267.1,6.854,1
3239945,1,1071.232624,19045.6,16.1784,1
3239945,2,4.393157678,447.2,2.4455,1
3239945,3,7.40611676,417.9,2.8826,1
3239945,4,21.803708,246.4,3.3689999999999998,1
3240049,1,2.945414866,968.7,2.702,2
3240158,1,7.42608123,443.3,3.6379,1
3240158,2,15.9868932,178.5,4.158,1
3240159,1,82.137609997,210772.0,6.11904,2
3240406,1,0.9341815790000001,12.1,3.943,3
3240706,1,5.48990788,598.9,4.02,2
3241248,1,0.9780469820000001,838.8,2.6137,3
3241344,1,3.9126791360000004,291510.0,3.556,2
3241604,2,1.70336496,316.7,1.7045,2
3241619,1,1.703347524,504406.0,3.3039,2
